identifier	type	label	abbreviation	parent	description	has role	has family	has function type
BSEO:0000083	owl:Class	2ZaP	2ZaP	BSEO:0000004	2ZaP basis set of Zhong, Barnes, and Petersson	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000084	owl:Class	2ZaPa-NR	2ZaPa-NR	BSEO:0000004	Double Zeta augmented + polarization (nonrelativistic)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000085	owl:Class	2ZaPa-NR-CV	2ZaPa-NR-CV	BSEO:0000004	Double zeta augmented +polarization (nonrelativistic + core-valence)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000086	owl:Class	3-21G	3-21G	BSEO:0000004	3-21G Split-valence basis set	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081
BSEO:0000087	owl:Class	3ZaP	3ZaP	BSEO:0000004	3ZaP basis set of Zhong, Barnes, and Petersson	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000088	owl:Class	3ZaPa-NR	3ZaPa-NR	BSEO:0000004	Triple Zeta augmented + polarization (nonrelativistic)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000089	owl:Class	3ZaPa-NR-CV	3ZaPa-NR-CV	BSEO:0000004	Triple zeta augmented + polarization (nonrelativistic + core-valence)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000090	owl:Class	4-31G	4-31G	BSEO:0000004	4-31G valence double-zeta basis set	BSEO:0001005	BSEO:0002015	BSEO:0003079
BSEO:0000091	owl:Class	4ZaP	4ZaP	BSEO:0000004	4ZaP basis set of Zhong, Barnes, and Petersson	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000092	owl:Class	4ZaPa-NR	4ZaPa-NR	BSEO:0000004	Quadruple Zeta augmented + polarization (nonrelativistic)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000093	owl:Class	4ZaPa-NR-CV	4ZaPa-NR-CV	BSEO:0000004	Quadruple zeta augmented + polarization (nonrelativistic + core-valence)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000094	owl:Class	5-21G	5-21G	BSEO:0000004	5-21G Split-valence basis set	BSEO:0001005	BSEO:0002015	BSEO:0003079
BSEO:0000095	owl:Class	5ZaP	5ZaP	BSEO:0000004	5ZaP basis set of Zhong, Barnes, and Petersson	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
